SerialNumber,CM,Line_ID,TesterName,Appraiser,Time,Test_Mode,Audit_Mode,CONFIG_VER,TestStation,TestResult,TestFailItem,ErrorCode,TestTotalTime,TSRID,Test_StartTime,PCName,Product_Name,LineID,Tester_Name,SlotID,Author,Version,Version_SW,Version_Api,Test_EndTime,TestTotalSeconds,CheckMES,CloseDoor,OpenDTC,Move_SFR,Captrue_SFR,Move_SubSFR,Captrue_SubSFR,CameraSN,Bin,sfr_25sfr_version,sfr_25modify_date,SFR_VIS_25cm_P0x,SFR_VIS_25cm_P0y,SFR_VIS_25cm_P1x,SFR_VIS_25cm_P1y,SFR_VIS_25cm_P2x,SFR_VIS_25cm_P2y,SFR_VIS_25cm_P3x,SFR_VIS_25cm_P3y,SFR_VIS_25cm_P4x,SFR_VIS_25cm_P4y,SFR_VIS_25cm_Pointing_OC_X,SFR_VIS_25cm_Pointing_OC_Y,SFR_VIS_25cm_Pan,SFR_VIS_25cm_Tilt,SFR_VIS_25cm_Rotation_P1,SFR_VIS_25cm_Rotation_P2,SFR_VIS_25cm_Rotation_P3,SFR_VIS_25cm_Rotation_P4,SFR_VIS_25cm_Rotation_Mean,SFR_VIS_25cm_Brightness_A,SFR_VIS_25cm_Brightness_B,SFR_VIS_25cm_Brightness_C,SFR_VIS_25cm_Brightness_D,SFR_VIS_25cm_Brightness_Mean,SFR_VIS_25cm_Ny4_01F_ROI1,SFR_VIS_25cm_Ny4_01F_ROI2,SFR_VIS_25cm_Ny4_01F_ROI3,SFR_VIS_25cm_Ny4_01F_ROI4,SFR_VIS_25cm_Ny4_01F_Min,SFR_VIS_25cm_Ny4_03F_ROI5,SFR_VIS_25cm_Ny4_03F_ROI6,SFR_VIS_25cm_Ny4_03F_ROI7,SFR_VIS_25cm_Ny4_03F_ROI8,SFR_VIS_25cm_Ny4_03F_Min,SFR_VIS_25cm_Ny4_06F_ROI9,SFR_VIS_25cm_Ny4_06F_ROI10,SFR_VIS_25cm_Ny4_06F_ROI11,SFR_VIS_25cm_Ny4_06F_ROI12,SFR_VIS_25cm_Ny4_06F_ROI13,SFR_VIS_25cm_Ny4_06F_ROI14,SFR_VIS_25cm_Ny4_06F_ROI15,SFR_VIS_25cm_Ny4_06F_ROI16,SFR_VIS_25cm_Ny4_06F_Min,SFR_VIS_25cm_Ny4_08F_ROI17,SFR_VIS_25cm_Ny4_08F_ROI18,SFR_VIS_25cm_Ny4_08F_ROI19,SFR_VIS_25cm_Ny4_08F_ROI20,SFR_VIS_25cm_Ny4_08FTANF_Min,SFR_VIS_25cm_Ny4_08F_ROI21,SFR_VIS_25cm_Ny4_08F_ROI22,SFR_VIS_25cm_Ny4_08F_ROI23,SFR_VIS_25cm_Ny4_08F_ROI24,SFR_VIS_25cm_Ny4_08F_ROI25,SFR_VIS_25cm_Ny4_08F_ROI26,SFR_VIS_25cm_Ny4_08F_ROI27,SFR_VIS_25cm_Ny4_08F_ROI28,SFR_VIS_25cm_Ny4_08F_Min,SFR_VIS_25cm_Ny4_010F_ROI29,SFR_VIS_25cm_Ny4_010F_ROI30,SFR_VIS_25cm_Ny4_010F_ROI31,SFR_VIS_25cm_Ny4_010F_ROI32,SFR_VIS_25cm_Ny4_010F_Min,SFR_VIS_25cm_Ny4_01F_Avg,SFR_VIS_25cm_Ny4_03F_Avg,SFR_VIS_25cm_Ny4_06F_Avg,SFR_VIS_25cm_Ny4_08F_Avg_Left,SFR_VIS_25cm_Ny4_08F_Avg_Right,SFR_VIS_25cm_Ny4_08F_Min_Left,SFR_VIS_25cm_Ny4_08F_Min_Right,SFR_IR_25cm_P0x,SFR_IR_25cm_P0y,SFR_IR_25cm_P1x,SFR_IR_25cm_P1y,SFR_IR_25cm_P2x,SFR_IR_25cm_P2y,SFR_IR_25cm_P3x,SFR_IR_25cm_P3y,SFR_IR_25cm_P4x,SFR_IR_25cm_P4y,SFR_IR_25cm_Pointing_OC_X,SFR_IR_25cm_Pointing_OC_Y,SFR_IR_25cm_Pan,SFR_IR_25cm_Tilt,SFR_IR_25cm_Rotation_P1,SFR_IR_25cm_Rotation_P2,SFR_IR_25cm_Rotation_P3,SFR_IR_25cm_Rotation_P4,SFR_IR_25cm_Rotation_Mean,SFR_IR_25cm_Brightness_A,SFR_IR_25cm_Brightness_B,SFR_IR_25cm_Brightness_C,SFR_IR_25cm_Brightness_D,SFR_IR_25cm_Brightness_Mean,SFR_IR_25cm_Ny4_01F_ROI1,SFR_IR_25cm_Ny4_01F_ROI2,SFR_IR_25cm_Ny4_01F_ROI3,SFR_IR_25cm_Ny4_01F_ROI4,SFR_IR_25cm_Ny4_01F_Min,SFR_IR_25cm_Ny4_03F_ROI5,SFR_IR_25cm_Ny4_03F_ROI6,SFR_IR_25cm_Ny4_03F_ROI7,SFR_IR_25cm_Ny4_03F_ROI8,SFR_IR_25cm_Ny4_03F_Min,SFR_IR_25cm_Ny4_06F_ROI9,SFR_IR_25cm_Ny4_06F_ROI10,SFR_IR_25cm_Ny4_06F_ROI11,SFR_IR_25cm_Ny4_06F_ROI12,SFR_IR_25cm_Ny4_06F_ROI13,SFR_IR_25cm_Ny4_06F_ROI14,SFR_IR_25cm_Ny4_06F_ROI15,SFR_IR_25cm_Ny4_06F_ROI16,SFR_IR_25cm_Ny4_06F_Min,SFR_IR_25cm_Ny4_08F_ROI17,SFR_IR_25cm_Ny4_08F_ROI18,SFR_IR_25cm_Ny4_08F_ROI19,SFR_IR_25cm_Ny4_08F_ROI20,SFR_IR_25cm_Ny4_08FTANF_Min,SFR_IR_25cm_Ny4_08F_ROI21,SFR_IR_25cm_Ny4_08F_ROI22,SFR_IR_25cm_Ny4_08F_ROI23,SFR_IR_25cm_Ny4_08F_ROI24,SFR_IR_25cm_Ny4_08F_ROI25,SFR_IR_25cm_Ny4_08F_ROI26,SFR_IR_25cm_Ny4_08F_ROI27,SFR_IR_25cm_Ny4_08F_ROI28,SFR_IR_25cm_Ny4_08F_Min,SFR_IR_25cm_Ny4_010F_ROI29,SFR_IR_25cm_Ny4_010F_ROI30,SFR_IR_25cm_Ny4_010F_ROI31,SFR_IR_25cm_Ny4_010F_ROI32,SFR_IR_25cm_Ny4_010F_Min,SFR_IR_25cm_Ny4_01F_Avg,SFR_IR_25cm_Ny4_03F_Avg,SFR_IR_25cm_Ny4_06F_Avg,SFR_IR_25cm_Ny4_08F_Avg_Left,SFR_IR_25cm_Ny4_08F_Avg_Right,SFR_IR_25cm_Ny4_08F_Min_Left,SFR_IR_25cm_Ny4_08F_Min_Right,SFR_VIS_25cm_P0x_Dev,SFR_VIS_25cm_P0y_Dev,SFR_VIS_25cm_P1x_Dev,SFR_VIS_25cm_P1y_Dev,SFR_VIS_25cm_P2x_Dev,SFR_VIS_25cm_P2y_Dev,SFR_VIS_25cm_P3x_Dev,SFR_VIS_25cm_P3y_Dev,SFR_VIS_25cm_P4x_Dev,SFR_VIS_25cm_P4y_Dev,SFR_VIS_25cm_Pointing_OC_X_Dev,SFR_VIS_25cm_Pointing_OC_Y_Dev,SFR_VIS_25cm_Pan_Dev,SFR_VIS_25cm_Tilt_Dev,SFR_VIS_25cm_Rotation_P1_Dev,SFR_VIS_25cm_Rotation_P2_Dev,SFR_VIS_25cm_Rotation_P3_Dev,SFR_VIS_25cm_Rotation_P4_Dev,SFR_VIS_25cm_Rotation_Mean_Dev,SFR_VIS_25cm_Brightness_A_Dev,SFR_VIS_25cm_Brightness_B_Dev,SFR_VIS_25cm_Brightness_C_Dev,SFR_VIS_25cm_Brightness_D_Dev,SFR_VIS_25cm_Brightness_Mean_Dev,SFR_VIS_25cm_Ny4_01F_ROI1_Dev,SFR_VIS_25cm_Ny4_01F_ROI2_Dev,SFR_VIS_25cm_Ny4_01F_ROI3_Dev,SFR_VIS_25cm_Ny4_01F_ROI4_Dev,SFR_VIS_25cm_Ny4_01F_Min_Dev,SFR_VIS_25cm_Ny4_03F_ROI5_Dev,SFR_VIS_25cm_Ny4_03F_ROI6_Dev,SFR_VIS_25cm_Ny4_03F_ROI7_Dev,SFR_VIS_25cm_Ny4_03F_ROI8_Dev,SFR_VIS_25cm_Ny4_03F_Min_Dev,SFR_VIS_25cm_Ny4_06F_ROI9_Dev,SFR_VIS_25cm_Ny4_06F_ROI10_Dev,SFR_VIS_25cm_Ny4_06F_ROI11_Dev,SFR_VIS_25cm_Ny4_06F_ROI12_Dev,SFR_VIS_25cm_Ny4_06F_ROI13_Dev,SFR_VIS_25cm_Ny4_06F_ROI14_Dev,SFR_VIS_25cm_Ny4_06F_ROI15_Dev,SFR_VIS_25cm_Ny4_06F_ROI16_Dev,SFR_VIS_25cm_Ny4_06F_Min_Dev,SFR_VIS_25cm_Ny4_08F_ROI17_Dev,SFR_VIS_25cm_Ny4_08F_ROI18_Dev,SFR_VIS_25cm_Ny4_08F_ROI19_Dev,SFR_VIS_25cm_Ny4_08F_ROI20_Dev,SFR_VIS_25cm_Ny4_08FTANF_Min_Dev,SFR_VIS_25cm_Ny4_08F_ROI21_Dev,SFR_VIS_25cm_Ny4_08F_ROI22_Dev,SFR_VIS_25cm_Ny4_08F_ROI23_Dev,SFR_VIS_25cm_Ny4_08F_ROI24_Dev,SFR_VIS_25cm_Ny4_08F_ROI25_Dev,SFR_VIS_25cm_Ny4_08F_ROI26_Dev,SFR_VIS_25cm_Ny4_08F_ROI27_Dev,SFR_VIS_25cm_Ny4_08F_ROI28_Dev,SFR_VIS_25cm_Ny4_08F_Min_Dev,SFR_VIS_25cm_Ny4_010F_ROI29_Dev,SFR_VIS_25cm_Ny4_010F_ROI30_Dev,SFR_VIS_25cm_Ny4_010F_ROI31_Dev,SFR_VIS_25cm_Ny4_010F_ROI32_Dev,SFR_VIS_25cm_Ny4_010F_Min_Dev,SFR_VIS_25cm_Ny4_01F_Avg_Dev,SFR_VIS_25cm_Ny4_03F_Avg_Dev,SFR_VIS_25cm_Ny4_06F_Avg_Dev,SFR_VIS_25cm_Ny4_08F_Avg_Left_Dev,SFR_VIS_25cm_Ny4_08F_Avg_Right_Dev,SFR_VIS_25cm_Ny4_08F_Min_Left_Dev,SFR_VIS_25cm_Ny4_08F_Min_Right_Dev,SFR_IR_25cm_P0x_Dev,SFR_IR_25cm_P0y_Dev,SFR_IR_25cm_P1x_Dev,SFR_IR_25cm_P1y_Dev,SFR_IR_25cm_P2x_Dev,SFR_IR_25cm_P2y_Dev,SFR_IR_25cm_P3x_Dev,SFR_IR_25cm_P3y_Dev,SFR_IR_25cm_P4x_Dev,SFR_IR_25cm_P4y_Dev,SFR_IR_25cm_Pointing_OC_X_Dev,SFR_IR_25cm_Pointing_OC_Y_Dev,SFR_IR_25cm_Pan_Dev,SFR_IR_25cm_Tilt_Dev,SFR_IR_25cm_Rotation_P1_Dev,SFR_IR_25cm_Rotation_P2_Dev,SFR_IR_25cm_Rotation_P3_Dev,SFR_IR_25cm_Rotation_P4_Dev,SFR_IR_25cm_Rotation_Mean_Dev,SFR_IR_25cm_Brightness_A_Dev,SFR_IR_25cm_Brightness_B_Dev,SFR_IR_25cm_Brightness_C_Dev,SFR_IR_25cm_Brightness_D_Dev,SFR_IR_25cm_Brightness_Mean_Dev,SFR_IR_25cm_Ny4_01F_ROI1_Dev,SFR_IR_25cm_Ny4_01F_ROI2_Dev,SFR_IR_25cm_Ny4_01F_ROI3_Dev,SFR_IR_25cm_Ny4_01F_ROI4_Dev,SFR_IR_25cm_Ny4_01F_Min_Dev,SFR_IR_25cm_Ny4_03F_ROI5_Dev,SFR_IR_25cm_Ny4_03F_ROI6_Dev,SFR_IR_25cm_Ny4_03F_ROI7_Dev,SFR_IR_25cm_Ny4_03F_ROI8_Dev,SFR_IR_25cm_Ny4_03F_Min_Dev,SFR_IR_25cm_Ny4_06F_ROI9_Dev,SFR_IR_25cm_Ny4_06F_ROI10_Dev,SFR_IR_25cm_Ny4_06F_ROI11_Dev,SFR_IR_25cm_Ny4_06F_ROI12_Dev,SFR_IR_25cm_Ny4_06F_ROI13_Dev,SFR_IR_25cm_Ny4_06F_ROI14_Dev,SFR_IR_25cm_Ny4_06F_ROI15_Dev,SFR_IR_25cm_Ny4_06F_ROI16_Dev,SFR_IR_25cm_Ny4_06F_Min_Dev,SFR_IR_25cm_Ny4_08F_ROI17_Dev,SFR_IR_25cm_Ny4_08F_ROI18_Dev,SFR_IR_25cm_Ny4_08F_ROI19_Dev,SFR_IR_25cm_Ny4_08F_ROI20_Dev,SFR_IR_25cm_Ny4_08FTANF_Min_Dev,SFR_IR_25cm_Ny4_08F_ROI21_Dev,SFR_IR_25cm_Ny4_08F_ROI22_Dev,SFR_IR_25cm_Ny4_08F_ROI23_Dev,SFR_IR_25cm_Ny4_08F_ROI24_Dev,SFR_IR_25cm_Ny4_08F_ROI25_Dev,SFR_IR_25cm_Ny4_08F_ROI26_Dev,SFR_IR_25cm_Ny4_08F_ROI27_Dev,SFR_IR_25cm_Ny4_08F_ROI28_Dev,SFR_IR_25cm_Ny4_08F_Min_Dev,SFR_IR_25cm_Ny4_010F_ROI29_Dev,SFR_IR_25cm_Ny4_010F_ROI30_Dev,SFR_IR_25cm_Ny4_010F_ROI31_Dev,SFR_IR_25cm_Ny4_010F_ROI32_Dev,SFR_IR_25cm_Ny4_010F_Min_Dev,SFR_IR_25cm_Ny4_01F_Avg_Dev,SFR_IR_25cm_Ny4_03F_Avg_Dev,SFR_IR_25cm_Ny4_06F_Avg_Dev,SFR_IR_25cm_Ny4_08F_Avg_Left_Dev,SFR_IR_25cm_Ny4_08F_Avg_Right_Dev,SFR_IR_25cm_Ny4_08F_Min_Left_Dev,SFR_IR_25cm_Ny4_08F_Min_Right_Dev,FixtureHome,OpenDoor
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.8,0.78,0.79,0.78,0.75,0.73,0.74,0.75,0.73,0.74,0.73,0.74,0.74,0.73,0.73,0.73,0.75,0.73,0.76,,0.71,,0.66,0.66,0.66,0.66,0.66,,,,,0.66,,,,,,0.68,0.67,0.66,,0.66,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.59,0.64,0.65,0.63,0.61,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.6,0.59,0.6,0.57,0.58,0.57,0.62,,0.59,,0.55,0.55,0.55,0.55,0.55,,,,,0.55,,,,,,0.59,0.57,0.56,,0.55,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,,-0.15,,-0.15,-0.15,-0.15,-0.15,-0.15,,,,,-0.15,,,,,,-0.08,-0.08,-0.08,,-0.08,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,-0.1,,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,-0.1,,,,,,-0.06,-0.06,-0.06,,-0.06,,-0.1,TRUE,TRUE
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.9,,0.9,0.9,0.9,0.9,0.9,,,,,0.9,,,,,,0.9,0.9,0.9,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,,0.7,,0.9,0.9,0.9,0.9,0.9,,,,,0.9,,,,,,0.9,0.9,0.9,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,0.1,,,,,,0.1,0.1,0.1,,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,,,,,0.1,,,,,,0.1,0.1,0.1,,0.1,,0.1,,
Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_DTC_R,LanSi,1,CW_01,A,2026-04-07 09:15:22+08:00,ONLINE,True,,CW_1_01,PASS,,,38.6060959,_2026040709152276201,T20260407091522,DESKTOP-P2DUL42,Loma,1,CW_1_01,1,paul di,2024.0718.155524,V20260401.1,CW_DTCL_DTCR_STC,T20260407091601,38.6060959,True,True,True,True,True,NA,NA,4S2RND2HBL0DP6,B,v1.0.2,2025_03_17,315.2901,316.0687,474.9538,296.7538,295.964,152.4676,149.875,335.8542,335.0448,477.6642,-5.2745,-3.7383,-0.0001,-0.0,-0.2199,1.5527,-0.2185,1.5486,0.6657,170.1094,167.0449,166.627,169.8193,168.4001,0.8745,0.8752,0.8729,0.8765,0.8729,0.8295,0.8206,0.8202,0.8284,0.8202,0.8178,0.8289,0.8171,0.8206,0.8148,0.8105,0.8094,0.8252,0.8094,0.8374,0.8299,0.791,0.8359,0.791,0.8409,0.8227,0.8192,0.8147,0.7986,0.8397,0.8527,0.8395,0.7986,0,0,0,0,0,0.874,0.8204,0.8132,0.791,0.791,0.791,0.791,315.1739,316.1087,476,296.6842,295.8786,151.3643,148.6966,335.9655,335.1014,478.9058,-5.3299,-3.6943,-0.0001,-0.0,-0.2197,1.5537,-0.2182,1.5485,0.6661,180.2207,174.6055,184.4424,182.9971,180.5664,0.7012,0.7046,0.7151,0.7174,0.7012,0.6826,0.6834,0.6734,0.6841,0.6734,0.653,0.6578,0.6664,0.6736,0.6605,0.6669,0.6313,0.6359,0.6313,0.6802,0.6907,0.6629,0.684,0.6629,0.6706,0.6895,0.6764,0.6828,0.6615,0.6837,0.6711,0.688,0.6615,0,0,0,0,0,0.7029,0.6784,0.6489,0.6629,0.6629,0.6615,0.6629,0.1856,0.0314,0.0081,0.0484,0.0854,0.0676,0.1667,0.007,0.1257,-0.1373,0.1143,0.0034,0,0,-0.0001,-0.0006,0.0002,0.0002,-0.0001,2.1992,2.123,1.7588,1.8369,1.9794,-0.0006,-0.0092,0.0006,-0.0012,0.0006,0.0034,0.0098,-0.0036,-0.0056,0.0094,0.0001,0.004,0.0066,-0.0062,0.0012,-0.0074,0.0122,-0.0038,0.0122,0.0008,0.01,0.0145,-0.0073,0.0145,0.0024,-0.0125,0.0089,0.0109,0.0132,0.0155,0.0127,-0.004,0.0132,0,0,0,0,0,-0.001,0.0031,0.0093,0.0145,0.0145,0.0145,0.0145,0.1739,0.1087,0.0902,0.0376,0.0944,0.0549,0.0828,0.0414,0.0367,-0.0295,0.0956,0.0426,0,0,-0.0005,-0.0004,0.0005,0.0007,0.0001,1.6016,1.5762,1.6963,1.628,1.6255,0.0033,-0.0159,-0.0029,-0.003,0.0033,-0.0044,0.0053,0.0007,-0.0038,0.0007,-0.0119,-0.0026,0.0038,-0.0036,0.0071,0.0001,-0.0025,-0.0187,-0.0025,-0.0064,0.0062,0.0092,-0.0009,0.0092,0.0017,0.001,0.0032,0.009,0.011,-0.0003,0.0024,0.02,0.011,0,0,0,0,0,-0.0063,0.003,0.0007,0.0092,0.0092,0.011,0.0092,True,True
